"","Energy","Danceability","Loudness..db.","Positiveness","Tempo","Acousticness","Speechiness","Instrumentalness","Liveness","Popularity","Explicit","emotion","lyrics_len","year","title_len","Good.for.Party","Good.for.Work.Study","Good.for.Relaxation.Meditation","Good.for.Exercise","Good.for.Running","Good.for.Driving","Good.for.Yoga.Stretching","Good.for.Social.Gatherings","Good.for.Morning.Routine"
"Explicit",0.0957857255767539,0.324076201251692,0.120523903598333,0.0282306838403401,-0.0122969757990414,-0.161326377668165,0.494210025768761,-0.159902844088725,0.0313682503324056,0.00483882103018583,1,-0.209300365059386,0.363508704935325,0.236685934242384,-0.111551534339735,0.0433602353588523,-0.145222474293589,-0.099786731235127,0.0911562420700786,0.0759457476232443,0.068627673816832,-0.0863684852890782,0.0273252263125567,0.0129482680610616
"emotion",-0.0499966095860427,-0.145881486750413,-0.0359092865711957,-0.0675789453622376,-0.00443664807465913,0.0721325409326851,-0.182095026339729,0.0301119978171059,-0.0259926485327012,-0.0063166220597554,-0.209300365059386,1,-0.172519627945988,-0.0509370358361711,0.0447574165907608,-0.0324847649681355,0.0591359414979065,0.0381646482931411,-0.0617758185535158,-0.0427418450937833,-0.0275590284907351,0.0314560824595106,0.00108051625567737,-0.00978016590951325
"lyrics_len",0.115413279243159,0.301459644681042,0.112396334495521,0.136384823254402,-0.0201222925551157,-0.135876201701574,0.369982541590666,-0.140481000363841,0.0213140049403873,0.0174942304024345,0.363508704935325,-0.172519627945988,1,0.160301018162945,-0.0222723571372582,0.0589756965310675,-0.129753269237769,-0.0899634522439413,0.111061526186127,0.0763581726530579,0.0503371450872868,-0.0770131574569743,0.0134464181097008,0.0265857893034378
"year",0.0639869666380029,0.147076572151721,0.191716555209034,-0.144968497147341,0.0171603852827407,-0.0902783539296005,0.167351750340903,0.0247058898356165,-0.025665311336488,-0.0289886251313349,0.236685934242384,-0.0509370358361711,0.160301018162945,1,-0.121915908462914,0.0284125464794484,-0.0825616714841036,-0.0425113158740593,0.0656190862179747,0.0426362346828519,0.0165023045951077,-0.0366196185594071,-0.003707122603229,0.0147511749977381
"title_len",-0.0303107000654174,-0.0500069729496307,-0.0517125345282976,0.0483103834475686,-0.0208730718777579,0.0582012867800671,-0.0684038166235621,0.00626903700237889,0.0177103169456364,0.0701662159578273,-0.111551534339735,0.0447574165907608,-0.0222723571372582,-0.121915908462914,1,0.0057061147832036,0.0421796547189097,0.0266078420442083,-0.0399928449262383,-0.0170141119234562,-0.0177958328791686,0.024978239737421,0.0178076126099817,-0.0178866611742026
"Good.for.Party",0.165655596106188,0.12399903115566,0.0706008569355201,0.120912765466471,0.19173787666409,-0.115173817554478,0.0102667817595217,-0.0306182076163935,0.00118341681755362,0.342271879926907,0.0433602353588523,-0.0324847649681355,0.0589756965310675,0.0284125464794484,0.0057061147832036,1,-0.0730502956496905,-0.0457345180875337,0.534597687025653,0.26550939066037,-0.0635713568561656,-0.0380319950180522,0.052800184585846,-0.00944538790266548
"Good.for.Work.Study",-0.446169130308185,-0.169074810381528,-0.243797834559979,-0.173474844863739,-0.317323560729018,0.499856593543835,-0.163164148587543,0.0845459746897177,-0.0577085600536706,-0.0330414027436398,-0.145222474293589,0.0591359414979065,-0.129753269237769,-0.0825616714841036,0.0421796547189097,-0.0730502956496905,1,0.620684645969582,-0.136645364210462,-0.067892696062421,-0.0704895780431903,0.51525940183122,-0.0316990726311871,-0.0757877011372147
"Good.for.Relaxation.Meditation",-0.331410429943957,-0.170855142958363,-0.177220298195295,-0.151959827902836,-0.262757409841141,0.351660659271339,-0.103585835019796,0.0915307759218518,-0.0406731768990001,-0.0235582152921808,-0.099786731235127,0.0381646482931411,-0.0899634522439413,-0.0425113158740593,0.0266078420442083,-0.0457345180875337,0.620684645969582,1,-0.0855494125722615,-0.0425055053982028,-0.0441313324378392,0.831581846894305,-0.0198458034661657,-0.0474483225241711
"Good.for.Exercise",0.310362368729529,0.208885633839439,0.148848573890402,0.203815985072204,0.361542527285906,-0.205932914069828,0.0530395650073706,-0.0368364453150706,0.0197480174991308,0.053622793692375,0.0911562420700786,-0.0617758185535158,0.111061526186127,0.0656190862179747,-0.0399928449262383,0.534597687025653,-0.136645364210462,-0.0855494125722615,1,0.496853270176459,-0.118914388144585,-0.0711413385075638,-0.00324515021683036,-0.0165660517283798
"Good.for.Running",0.208454806230683,0.0595531555658613,0.0664363117031908,0.132914434229576,0.311541864459424,-0.110707327029077,0.0799850498091304,-0.0253075779340517,0.0181527979604691,0.0299854107947925,0.0759457476232443,-0.0427418450937833,0.0763581726530579,0.0426362346828519,-0.0170141119234562,0.26550939066037,-0.067892696062421,-0.0425055053982028,0.496853270176459,1,-0.0590830026206699,-0.035346806682213,-0.0265695503269103,-0.0635237870506326
